2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6,2,8,,10,11,11,17
14,4,9,9,13,15,23,17
21,10,24,25,58,59,95,40
24,19,25,47,124,57,61,87
,,,,,,,
36,29,59,102,193,80,72,98
,,,,,,,
,,,,,,,
,1,,,,,,
,,,,,,,
4,1,,,,,,
,,,,,,,
8,4,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4,,,,1,1,,1
11,,,3,8,5,3,5
16,4,12,14,41,27,82,14
14,8,16,34,103,43,34,46
,,,,,,,
24,16,43,82,168,55,48,71
,,,,,,,
,,1,,,,,
,,,,,,,
,,,,,,,
,1,,,1,,1,
,,,,,,,
,,,3,2,,1,
,,,,,,,
2,2,7,,9,10,11,16
3,3,9,6,5,10,20,12
5,6,12,11,17,32,13,26
6,9,9,13,20,14,26,41
,,,,,,,
4,9,16,17,23,25,23,27
11,4,1,2,1,,,
27,23,15,,23,25,31,25
33,25,44,32,36,26,24,28
26,26,29,18,21,40,31,20
24,26,35,30,38,36,42,25
,,,,,,,
36,39,39,37,47,54,49,67
6,1,,2,1,,,
9,7,5,,7,6,13,5
5,7,14,12,18,15,6,12
11,14,17,8,12,15,13,8
10,10,18,16,20,21,24,18
,,,,,,,
17,20,17,21,29,38,29,41
,3,,,,,,
,,,,,,,
1,,,1,,,1,
,2,4,,1,3,4,1
3,7,4,2,5,5,2,2
,,,,,,,
8,4,9,5,8,5,4,8
5,,1,,,,,
18,16,10,,16,19,18,20
27,18,30,19,18,11,17,16
15,10,8,10,8,22,14,11
11,9,13,12,13,10,16,5
,,,,,,,
11,15,13,11,10,11,16,18
13,20,10,9,25,4,,
186,172,250,1,229,184,275,351
268,254,329,442,380,325,417,453
400,409,567,691,707,639,641,565
435,521,740,908,889,916,756,840
,,,,,,,
448,559,889,1145,1076,1037,901,1042
9,17,9,6,23,2,,
84,79,156,1,151,104,113,172
128,95,211,306,234,182,232,215
145,174,344,453,405,371,383,308
148,211,417,563,519,536,411,445
,,,,,,,
130,243,494,636,552,624,463,495
1,,,,,1,,
14,17,14,,8,9,27,22
15,22,10,12,10,23,26,33
25,18,7,17,20,32,30,37
10,10,5,8,15,15,15,22
,,,,,,,
5,6,6,7,9,13,16,27
1,1,,,,,,
13,2,6,,1,7,15,10
10,16,9,14,6,15,22,27
52,35,35,27,39,22,54,38
55,59,57,67,54,68,65,107
,,,,,,,
51,55,76,98,91,100,83,164
1,1,,,2,1,,
45,49,55,,56,54,102,136
72,66,60,81,88,68,109,157
53,50,59,64,76,111,79,115
47,58,58,71,96,130,105,129
,,,,,,,
62,58,49,96,133,87,126,145
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,1,,1,,
,,,,,,,
,,,,,,1,
,,,,,,,
,,,,,,,
,1,1,,,1,,
4,1,3,2,,3,2,
5,4,1,4,3,3,2,1
,,,,,,,
2,4,3,1,3,1,7,3
,,,,,,,
,,,,,,,
,,,,,,,
1,,,,,,,
